[Point: 36851.0, 26018.0, Point: 37864.0, 26018.0, Point: 37864.0, 27031.0, Point: 36851.0, 27031.0]
[Point: 37864.0, 26018.0, Point: 38877.0, 26018.0, Point: 38877.0, 27031.0, Point: 37864.0, 27031.0]
[Point: 38877.0, 26018.0, Point: 39890.0, 26018.0, Point: 39890.0, 27031.0, Point: 38877.0, 27031.0]
[Point: 39890.0, 26018.0, Point: 40903.0, 26018.0, Point: 40903.0, 27031.0, Point: 39890.0, 27031.0]
[Point: 40903.0, 26018.0, Point: 41916.0, 26018.0, Point: 41916.0, 27031.0, Point: 40903.0, 27031.0]
[Point: 41916.0, 26018.0, Point: 42929.0, 26018.0, Point: 42929.0, 27031.0, Point: 41916.0, 27031.0]
[Point: 42929.0, 26018.0, Point: 43942.0, 26018.0, Point: 43942.0, 27031.0, Point: 42929.0, 27031.0]
[Point: 43942.0, 26018.0, Point: 44955.0, 26018.0, Point: 44955.0, 27031.0, Point: 43942.0, 27031.0]
[Point: 35838.0, 27031.0, Point: 36851.0, 27031.0, Point: 36851.0, 28044.0, Point: 35838.0, 28044.0]
[Point: 36851.0, 27031.0, Point: 37864.0, 27031.0, Point: 37864.0, 28044.0, Point: 36851.0, 28044.0]
[Point: 37864.0, 27031.0, Point: 38877.0, 27031.0, Point: 38877.0, 28044.0, Point: 37864.0, 28044.0]
[Point: 38877.0, 27031.0, Point: 39890.0, 27031.0, Point: 39890.0, 28044.0, Point: 38877.0, 28044.0]
[Point: 39890.0, 27031.0, Point: 40903.0, 27031.0, Point: 40903.0, 28044.0, Point: 39890.0, 28044.0]
[Point: 40903.0, 27031.0, Point: 41916.0, 27031.0, Point: 41916.0, 28044.0, Point: 40903.0, 28044.0]
[Point: 41916.0, 27031.0, Point: 42929.0, 27031.0, Point: 42929.0, 28044.0, Point: 41916.0, 28044.0]
[Point: 42929.0, 27031.0, Point: 43942.0, 27031.0, Point: 43942.0, 28044.0, Point: 42929.0, 28044.0]
[Point: 43942.0, 27031.0, Point: 44955.0, 27031.0, Point: 44955.0, 28044.0, Point: 43942.0, 28044.0]
[Point: 37864.0, 28044.0, Point: 38877.0, 28044.0, Point: 38877.0, 29057.0, Point: 37864.0, 29057.0]
[Point: 38877.0, 28044.0, Point: 39890.0, 28044.0, Point: 39890.0, 29057.0, Point: 38877.0, 29057.0]
[Point: 39890.0, 28044.0, Point: 40903.0, 28044.0, Point: 40903.0, 29057.0, Point: 39890.0, 29057.0]
[Point: 40903.0, 28044.0, Point: 41916.0, 28044.0, Point: 41916.0, 29057.0, Point: 40903.0, 29057.0]
[Point: 41916.0, 28044.0, Point: 42929.0, 28044.0, Point: 42929.0, 29057.0, Point: 41916.0, 29057.0]
[Point: 42929.0, 28044.0, Point: 43942.0, 28044.0, Point: 43942.0, 29057.0, Point: 42929.0, 29057.0]
[Point: 37864.0, 29057.0, Point: 38877.0, 29057.0, Point: 38877.0, 30070.0, Point: 37864.0, 30070.0]
[Point: 38877.0, 29057.0, Point: 39890.0, 29057.0, Point: 39890.0, 30070.0, Point: 38877.0, 30070.0]
[Point: 39890.0, 29057.0, Point: 40903.0, 29057.0, Point: 40903.0, 30070.0, Point: 39890.0, 30070.0]
